Number of active threads;Average HTTP Request;HTTP Request
714;;71.0851265173227
715;;61.1134136842537
716;;62.60993550457232
717;;78.2573075317436
718;;72.3403508771929
719;;59.94078674177285
720;;72.03827412317979
721;;78.93427419313795
722;;74.04111481386539
723;;70.9925289588009
724;;68.18674229514576
725;;66.35720919351193
726;;63.142857142857146
727;;64.21457794141065
728;;68.96914879014996
729;;55.26946767631101
730;;72.62347122630983
731;;73.57452509257304
732;;66.28756674294429
733;;69.37831858407081
734;;79.29253680998404
735;;69.0786348822846
736;;71.1958487780225
737;;64.25703305259977
738;;64.2549580497411
739;;70.24548613734228
740;;70.8310081474845
741;;82.42825620699573
742;;66.52662167229093
743;;80.58671927496692
744;;59.22818091086338
745;;66.31088278853791
746;;54.35892514395392
747;;67.0683918669132
748;;78.1423487544484
749;;105.01851851851855
750;;101.01588710018166
751;;74.02293925450242
752;;69.9681085375066
753;;75.19984472049686
754;;78.78296614210777
755;;55.42007052600646
756;;73.93824701862853
757;;55.77987090463093
758;;79.60257285340175
759;;65.49967129515278
760;;71.70685579196211
761;;77.85690298507458
762;;63.97798165137609
763;;69.36959138689416
764;;70.45658061785869
765;;72.07526742581085
766;;71.80526315789469
767;;66.25659531010994
768;;70.43718777917886
769;;68.49888779310977
770;;78.08508527524491
771;;64.61764705882325
772;;57.65978895648351
773;;79.29083665338644
774;;75.25020550728699
775;;67.03562369009522
776;;67.11015736766807
777;;53.4806677424296
778;;80.63171778864857
779;;89.43814920812288
780;;70.75204918032803
781;;87.05015873015874
782;;72.2883264888206
783;;69.31796977725047
784;;79.45318532818536
785;;89.93481662924403
786;;105.31722675328592
787;;68.29711642873758
788;;73.44073925596621
789;;64.0769993894994
790;;90.28126230457438
791;;78.2493766292561
792;;72.55600407114157
793;;78.90249287659921
794;;66.07719948225177
795;;73.4067673599619
796;;80.28982912146711
797;;79.96812116810742
798;;66.14883011847371
799;;65.6272798190616
800;;74.93689320388353
801;;85.52741867988958
802;;87.1193506455301
803;;71.29637096774188
804;;74.55872014964773
805;;69.9980506822613
806;;72.61934367521262
807;;60.06458821967515
808;;76.97337905152212
809;;67.54517197712852
810;;76.19421487603309
811;;77.74773139745906
812;;68.64763611835164
813;;80.92068965517242
814;;75.8790550865504
815;;66.57788491851966
816;;71.42517006802721
817;;88.03018472970854
818;;74.48229829262789
819;;72.50916394976296
820;;69.57923497267771
821;;78.41638891353429
822;;52.42798493621783
823;;84.13664596273287
824;;126.46220966521412
825;;115.3411033411034
826;;73.28394852500176
827;;73.24361048481427
828;;83.9458239277652
829;;85.56052055800508
